cnv_feature,f_score,p_value
cnv_depth__IBNLCO_03137__Imidazoleglycerol-phosphate__CDS,101.87731109115846,6.467475897964595e-20
cnv_depth__IBNLCO_01737__IBNLCO_01737__gene,101.81298097935829,6.61242587046533e-20
cnv_depth__IBNLCO_04794__IBNLCO_04794__gene,101.72297469435102,6.820750875903822e-20
cnv_depth__IBNLCO_03405__putative__CDS,101.598883648112,7.118876463669468e-20
cnv_depth__IBNLCO_03241__SGNH__CDS,101.46701365767835,7.450124435325457e-20
cnv_depth__IBNLCO_03360__Glycine__CDS,101.42794243404312,7.551224705501487e-20
cnv_depth__IBNLCO_03320__DNA-3-methyladenine__CDS__promoter,100.53209411246311,1.029059159268768e-19
cnv_depth__IBNLCO_01583__IBNLCO_01583__gene,100.25718541187,1.1317969100162197e-19
cnv_depth__IBNLCO_01640__IBNLCO_01640__gene,100.20933563871277,1.1507095124084617e-19
cnv_depth__IBNLCO_02225__MBL__CDS,100.15052300281977,1.1743927881251712e-19
cnv_depth__IBNLCO_03305__chemoreceptor__CDS,99.59630254568842,1.423219676855866e-19
cnv_depth__IBNLCO_04583__Anaphase-promoting__CDS,99.30354524694518,1.5754980462886388e-19
cnv_depth__IBNLCO_05837__Glutamine__CDS__promoter,99.21928686007902,1.6223003031206014e-19
cnv_depth__IBNLCO_00051__Phenylacetaldehyde__CDS__promoter,99.1474645361232,1.6633013713775108e-19
cnv_depth__IBNLCO_01868__IBNLCO_01868__gene,99.00111584071645,1.7501136431286552e-19
cnv_depth__IBNLCO_01657__gnl|Bakta|IBNLCO_01657__CDS,98.8114090408355,1.8694904031471646e-19
cnv_depth__IBNLCO_03148__Outer__CDS__promoter,98.7624678391234,1.9015998229544943e-19
cnv_depth__IBNLCO_02131__Chromosome__CDS,98.6735704313501,1.9613545873440403e-19
cnv_depth__IBNLCO_00041__IBNLCO_00041__gene,98.5962825122818,2.0148441561217436e-19
cnv_depth__IBNLCO_00117__IBNLCO_00117__gene__promoter,98.51645660004814,2.0716367545200215e-19
cnv_depth__IBNLCO_03341__AB__CDS__promoter,98.34162837346736,2.2017295853068657e-19
cnv_depth__IBNLCO_00293__IBNLCO_00293__gene,98.2602129674262,2.2650965876984477e-19
cnv_depth__IBNLCO_01697__hypothetical__CDS,98.13644264620409,2.3649742192293865e-19
cnv_depth__IBNLCO_00075__IBNLCO_00075__gene,98.0844216394197,2.4082690423972517e-19
cnv_depth__IBNLCO_01857__IBNLCO_01857__gene,96.43151728896066,4.2927371654031786e-19
cnv_depth__IBNLCO_03201__Large__CDS,96.24283405819541,4.586445098758813e-19
cnv_depth__IBNLCO_00043__Type__CDS,96.14258103969888,4.750669861332903e-19
cnv_depth__IBNLCO_00272__flgG__gene,95.97577317685658,5.037182010703234e-19
cnv_depth__IBNLCO_03226__Large__CDS__promoter,95.79562763878441,5.366234165082274e-19
cnv_depth__IBNLCO_03281__IBNLCO_03281__gene,95.76643840316021,5.421557794233526e-19
cnv_depth__IBNLCO_03226__Large__CDS,95.38551927027505,6.198605804315886e-19
cnv_depth__IBNLCO_03452__gnl|Bakta|IBNLCO_03452__CDS__promoter,95.36903091292552,6.234671682108396e-19
