feature,cluster
cnv_depth__IBNLCO_00101__gnl|Bakta|IBNLCO_00101__CDS__promoter,8231
cnv_depth__IBNLCO_00101__IBNLCO_00101__gene,5101
cnv_depth__IBNLCO_00102__IBNLCO_00102__gene,5042
cnv_depth__IBNLCO_00102__IBNLCO_00102__gene__promoter,7861
cnv_depth__IBNLCO_00103__IBNLCO_00103__gene__promoter,7423
cnv_depth__IBNLCO_00103__Presumed__CDS,8535
cnv_depth__IBNLCO_00104__Membrane__CDS,9157
cnv_depth__IBNLCO_00105__Tlde1__CDS,9649
cnv_depth__IBNLCO_00104__Membrane__CDS__promoter,8450
cnv_depth__IBNLCO_00105__Tlde1__CDS__promoter,8582
cnv_depth__IBNLCO_00106__trnK__gene,7835
cnv_depth__IBNLCO_00107__IBNLCO_00107__gene__promoter,1083
cnv_depth__IBNLCO_00106__trnK__gene__promoter,1083
cnv_depth__IBNLCO_00107__Thioesterase__CDS,9491
cnv_depth__IBNLCO_00108__PNPLA__CDS__promoter,5868
cnv_depth__IBNLCO_00108__PNPLA__CDS,5705
cnv_depth__IBNLCO_00109__D-2-hydroxyacid__CDS,7523
cnv_depth__IBNLCO_00109__IBNLCO_00109__gene__promoter,5863
cnv_depth__IBNLCO_00110__DNA-binding__CDS__promoter,8390
cnv_depth__IBNLCO_00110__DNA-binding__CDS,5502
cnv_depth__IBNLCO_00111__IBNLCO_00111__gene,9126
cnv_depth__IBNLCO_00111__IBNLCO_00111__gene__promoter,7734
cnv_depth__IBNLCO_00112__IBNLCO_00112__gene,5216
cnv_depth__IBNLCO_00112__hypothetical__CDS__promoter,9597
cnv_depth__IBNLCO_00113__DprA__CDS,6057
cnv_depth__IBNLCO_00113__DprA__CDS__promoter,183
cnv_depth__IBNLCO_00114__Peptide__CDS__promoter,183
cnv_depth__IBNLCO_00114__IBNLCO_00114__gene,8520
cnv_depth__IBNLCO_00115__IBNLCO_00115__gene__promoter,8134
cnv_depth__IBNLCO_00115__Methionyl-tRNA__CDS,8681
cnv_depth__IBNLCO_00116__lysE__gene__promoter,5901
cnv_depth__IBNLCO_00116__Lysine__CDS,9601
cnv_depth__IBNLCO_00117__IBNLCO_00117__gene__promoter,6143
cnv_depth__IBNLCO_00117__Protease__CDS,6083
cnv_depth__IBNLCO_00118__16S__CDS__promoter,5105
cnv_depth__IBNLCO_00119__hypothetical__CDS__promoter,7319
cnv_depth__IBNLCO_00119__IBNLCO_00119__gene,9296
cnv_depth__IBNLCO_00120__esaS__gene__promoter,8094
cnv_depth__IBNLCO_00120__esaS__gene,9444
cnv_depth__IBNLCO_00121__esaR__gene__promoter,6183
cnv_depth__IBNLCO_00121__esaR__gene,7269
cnv_depth__IBNLCO_00122__trnF__gene__promoter,6442
cnv_depth__IBNLCO_00122__trnF__gene,9139
cnv_depth__IBNLCO_00123__hypothetical__CDS,8340
cnv_depth__IBNLCO_00123__IBNLCO_00123__gene__promoter,7090
cnv_depth__IBNLCO_00124__Toprim__CDS,7878
cnv_depth__IBNLCO_00124__IBNLCO_00124__gene__promoter,510
cnv_depth__IBNLCO_00125__gnl|Bakta|IBNLCO_00125__CDS,510
cnv_depth__IBNLCO_00126__Bacteriophage__CDS,26
cnv_depth__IBNLCO_00125__IBNLCO_00125__gene__promoter,26
cnv_depth__IBNLCO_00126__IBNLCO_00126__gene__promoter,1093
cnv_depth__IBNLCO_00127__hypothetical__CDS,1093
cnv_depth__IBNLCO_00127__hypothetical__CDS__promoter,9172
cnv_depth__IBNLCO_00128__hypothetical__CDS,7870
cnv_depth__IBNLCO_00128__IBNLCO_00128__gene__promoter,498
cnv_depth__IBNLCO_00129__Phage-encoded__CDS,498
cnv_depth__IBNLCO_00129__IBNLCO_00129__gene__promoter,341
cnv_depth__IBNLCO_00130__Bacteriophage__CDS,341
cnv_depth__IBNLCO_00130__IBNLCO_00130__gene__promoter,552
cnv_depth__IBNLCO_00131__hypothetical__CDS,552
cnv_depth__IBNLCO_00131__IBNLCO_00131__gene__promoter,9683
cnv_depth__IBNLCO_00132__Zinc__CDS,193
cnv_depth__IBNLCO_00133__hypothetical__CDS__promoter,193
cnv_depth__IBNLCO_00132__Zinc__CDS__promoter,8625
cnv_depth__IBNLCO_00133__hypothetical__CDS,7912
cnv_depth__IBNLCO_00134__Phage-encoded__CDS__promoter,7113
cnv_depth__IBNLCO_00134__IBNLCO_00134__gene,5106
cnv_depth__IBNLCO_00135__hypothetical__CDS__promoter,8621
cnv_depth__IBNLCO_00135__hypothetical__CDS,5679
cnv_depth__IBNLCO_00136__Phage__CDS,8610
cnv_depth__IBNLCO_00137__IBNLCO_00137__gene,205
cnv_depth__IBNLCO_00136__IBNLCO_00136__gene__promoter,205
cnv_depth__IBNLCO_00137__IBNLCO_00137__gene__promoter,8299
cnv_depth__IBNLCO_00138__hypothetical__CDS,9264
cnv_depth__IBNLCO_00138__IBNLCO_00138__gene__promoter,9566
cnv_depth__IBNLCO_00139__Phage__CDS,8530
cnv_depth__IBNLCO_00139__IBNLCO_00139__gene__promoter,9231
cnv_depth__IBNLCO_00140__Phage__CDS,9102
cnv_depth__IBNLCO_00140__IBNLCO_00140__gene__promoter,8934
cnv_depth__IBNLCO_00141__IBNLCO_00141__gene,6770
cnv_depth__IBNLCO_00141__IBNLCO_00141__gene__promoter,8798
cnv_depth__IBNLCO_00142__gnl|Bakta|IBNLCO_00142__CDS,8222
cnv_depth__IBNLCO_00142__gnl|Bakta|IBNLCO_00142__CDS__promoter,8588
