feature,cluster
cnv_depth__IBNLCO_03208__IBNLCO_03208__gene,1183
cnv_depth__IBNLCO_03207__IBNLCO_03207__gene__promoter,1183
cnv_depth__IBNLCO_03208__Large__CDS__promoter,401
cnv_depth__IBNLCO_03209__Large__CDS,401
cnv_depth__IBNLCO_03209__IBNLCO_03209__gene__promoter,4688
cnv_depth__IBNLCO_03210__Small__CDS,3812
cnv_depth__IBNLCO_03210__IBNLCO_03210__gene__promoter,463
cnv_depth__IBNLCO_03211__Large__CDS,463
cnv_depth__IBNLCO_03211__IBNLCO_03211__gene__promoter,563
cnv_depth__IBNLCO_03212__Small__CDS,563
cnv_depth__IBNLCO_03212__IBNLCO_03212__gene__promoter,3271
cnv_depth__IBNLCO_03213__Large__CDS,4504
cnv_depth__IBNLCO_03213__IBNLCO_03213__gene__promoter,418
cnv_depth__IBNLCO_03214__Large__CDS,418
cnv_depth__IBNLCO_03215__IBNLCO_03215__gene,4674
cnv_depth__IBNLCO_03214__IBNLCO_03214__gene__promoter,2515
cnv_depth__IBNLCO_03216__IBNLCO_03216__gene,4669
cnv_depth__IBNLCO_03215__Large__CDS__promoter,3009
cnv_depth__IBNLCO_03216__Large__CDS__promoter,5012
cnv_depth__IBNLCO_03217__Small__CDS,2863
cnv_depth__IBNLCO_03217__Small__CDS__promoter,5990
cnv_depth__IBNLCO_03218__Elongation__CDS,4768
cnv_depth__IBNLCO_03218__Elongation__CDS__promoter,4408
cnv_depth__IBNLCO_03219__IBNLCO_03219__gene,119
cnv_depth__IBNLCO_03219__IBNLCO_03219__gene__promoter,4682
cnv_depth__IBNLCO_03220__Small__CDS,8068
cnv_depth__IBNLCO_03220__IBNLCO_03220__gene__promoter,8830
cnv_depth__IBNLCO_03221__30S__CDS,7850
cnv_depth__IBNLCO_03221__30S__CDS__promoter,8414
cnv_depth__IBNLCO_03222__DNA__CDS,4640
cnv_depth__IBNLCO_03222__recQ__gene__promoter,2992
cnv_depth__IBNLCO_03223__DNA-directed__CDS,122
cnv_depth__IBNLCO_03223__IBNLCO_03223__gene__promoter,2090
cnv_depth__IBNLCO_03224__DNA-directed__CDS,122
cnv_depth__IBNLCO_03224__IBNLCO_03224__gene__promoter,3642
cnv_depth__IBNLCO_03225__Large__CDS,3864
cnv_depth__IBNLCO_03225__Large__CDS__promoter,4785
cnv_depth__IBNLCO_03226__Large__CDS,2495
cnv_depth__IBNLCO_03226__Large__CDS__promoter,2154
cnv_depth__IBNLCO_03227__IBNLCO_03227__gene,4530
cnv_depth__IBNLCO_03227__Large__CDS__promoter,56
cnv_depth__IBNLCO_03228__IBNLCO_03228__gene,56
cnv_depth__IBNLCO_03228__Large__CDS__promoter,4268
cnv_depth__IBNLCO_03229__nusG__gene,3265
cnv_depth__IBNLCO_03229__Transcription__CDS__promoter,65
cnv_depth__IBNLCO_03230__secE__gene,65
cnv_depth__IBNLCO_03230__Protein__CDS__promoter,385
cnv_depth__IBNLCO_03231__trnW__gene,385
cnv_depth__IBNLCO_03231__trnW__gene__promoter,9230
cnv_depth__IBNLCO_03232__Elongation__CDS,3538
cnv_depth__IBNLCO_03232__Elongation__CDS__promoter,140
cnv_depth__IBNLCO_03233__tRNA-Thr(ggt)__tRNA,140
cnv_depth__IBNLCO_03233__trnT__gene__promoter,140
cnv_depth__IBNLCO_03234__trnG__gene,140
cnv_depth__IBNLCO_03234__trnG__gene__promoter,289
cnv_depth__IBNLCO_03235__trnY__gene,289
cnv_depth__IBNLCO_03235__trnY__gene__promoter,4810
cnv_depth__IBNLCO_03236__rrf__gene,4837
cnv_depth__IBNLCO_03236__rrf__gene__promoter,4084
cnv_depth__IBNLCO_03237__23S__rRNA,400
cnv_depth__IBNLCO_03237__rrl__gene__promoter,1212
cnv_depth__IBNLCO_03238__tRNA-Ala(tgc)__tRNA,1212
cnv_depth__IBNLCO_03238__trnA__gene__promoter,1212
cnv_depth__IBNLCO_03239__trnI__gene,1212
cnv_depth__IBNLCO_03239__trnI__gene__promoter,1212
cnv_depth__IBNLCO_03240__rrs__gene,400
cnv_depth__IBNLCO_03240__rrs__gene__promoter,9662
cnv_depth__IBNLCO_03241__IBNLCO_03241__gene__promoter,4657
cnv_depth__IBNLCO_03242__IBNLCO_03242__gene__promoter,3421
cnv_depth__IBNLCO_03242__Phenylacetate-CoA__CDS,3957
cnv_depth__IBNLCO_03243__1%2C2-phenylacetyl-CoA__CDS__promoter,6031
cnv_depth__IBNLCO_03243__IBNLCO_03243__gene,246
cnv_depth__IBNLCO_03244__paaC__gene__promoter,246
cnv_depth__IBNLCO_03244__paaC__gene,7216
cnv_depth__IBNLCO_03245__paaD__gene__promoter,9375
cnv_depth__IBNLCO_03245__paaD__gene,2671
cnv_depth__IBNLCO_03246__paaK__gene__promoter,3645
cnv_depth__IBNLCO_03246__paaK__gene,8130
cnv_depth__IBNLCO_03247__IBNLCO_03247__gene__promoter,7542
cnv_depth__IBNLCO_03248__TetR/AcrR__CDS__promoter,2496
cnv_depth__IBNLCO_03248__IBNLCO_03248__gene,7066
cnv_depth__IBNLCO_03249__N-acetyltransferase__CDS__promoter,3840
cnv_depth__IBNLCO_03249__IBNLCO_03249__gene,8401
cnv_depth__IBNLCO_03250__IBNLCO_03250__gene,2818
cnv_depth__IBNLCO_03250__Leucine-responsive__CDS__promoter,1458
cnv_depth__IBNLCO_03251__4-hydroxyphenylpyruvate__CDS__promoter,1458
cnv_depth__IBNLCO_03251__4-hydroxyphenylpyruvate__CDS,3918
cnv_depth__IBNLCO_03252__IBNLCO_03252__gene,7975
cnv_depth__IBNLCO_03252__hypothetical__CDS__promoter,4106
cnv_depth__IBNLCO_03253__Indolepyruvate__CDS__promoter,5683
cnv_depth__IBNLCO_03254__IBNLCO_03254__gene,6608
cnv_depth__IBNLCO_03254__NADP-dependent__CDS__promoter,2726
cnv_depth__IBNLCO_03255__Orotate__CDS__promoter,6407
cnv_depth__IBNLCO_03255__IBNLCO_03255__gene,6576
cnv_depth__IBNLCO_03256__Phosphatidylethanolamine-binding__CDS__promoter,5610
cnv_depth__IBNLCO_03256__IBNLCO_03256__gene,3880
cnv_depth__IBNLCO_03257__Flavoprotein__CDS__promoter,6660
cnv_depth__IBNLCO_03258__N-acetyl-gamma-glutamyl-phosphate__CDS__promoter,4357
cnv_depth__IBNLCO_03259__DUF2957__CDS__promoter,4325
cnv_depth__IBNLCO_03259__IBNLCO_03259__gene,1635
cnv_depth__IBNLCO_03260__gnl|Bakta|IBNLCO_03260__CDS__promoter,2855
cnv_depth__IBNLCO_03260__IBNLCO_03260__gene,4242
cnv_depth__IBNLCO_03261__Outer__CDS__promoter,2430
cnv_depth__IBNLCO_03261__IBNLCO_03261__gene,4459
cnv_depth__IBNLCO_03262__ISL3-like__CDS,464
cnv_depth__IBNLCO_03262__ISL3-like__CDS__promoter,3975
cnv_depth__IBNLCO_03263__Betaproteobacteria__ncRNA,7085
cnv_depth__IBNLCO_03263__Betaproteobacteria_toxic_sRNA__gene__promoter,7390
cnv_depth__IBNLCO_03264__IBNLCO_03264__gene,6990
cnv_depth__IBNLCO_03265__IBNLCO_03265__gene__promoter,4442
cnv_depth__IBNLCO_03264__IBNLCO_03264__gene__promoter,3800
cnv_depth__IBNLCO_03265__IBNLCO_03265__gene,2787
cnv_depth__IBNLCO_03266__IBNLCO_03266__gene,6392
cnv_depth__IBNLCO_03266__Homoserine/Threonine__CDS__promoter,3795
cnv_depth__IBNLCO_03268__pilT__gene__promoter,414
cnv_depth__IBNLCO_03267__2-hydroxy-3-oxopropionate__CDS__promoter,414
cnv_depth__IBNLCO_03268__pilT__gene,8666
cnv_depth__IBNLCO_03269__IBNLCO_03269__gene,1692
cnv_depth__IBNLCO_03269__IBNLCO_03269__gene__promoter,7969
cnv_depth__IBNLCO_03270__gnl|Bakta|IBNLCO_03270__CDS__promoter,3461
cnv_depth__IBNLCO_03270__IBNLCO_03270__gene,7394
cnv_depth__IBNLCO_03271__IBNLCO_03271__gene,8341
cnv_depth__IBNLCO_03271__IBNLCO_03271__gene__promoter,4004
cnv_depth__IBNLCO_03272__IBNLCO_03272__gene__promoter,4615
cnv_depth__IBNLCO_03272__IBNLCO_03272__gene,7088
cnv_depth__IBNLCO_03273__trnA__gene,7733
cnv_depth__IBNLCO_03273__trnA__gene__promoter,7202
cnv_depth__IBNLCO_03274__hypothetical__CDS,3618
cnv_depth__IBNLCO_03275__BON__CDS,9490
cnv_depth__IBNLCO_03274__IBNLCO_03274__gene__promoter,6997
cnv_depth__IBNLCO_03275__IBNLCO_03275__gene__promoter,2010
cnv_depth__IBNLCO_03276__Phosphoheptose__CDS,6223
cnv_depth__IBNLCO_03276__IBNLCO_03276__gene__promoter,2411
cnv_depth__IBNLCO_03277__IBNLCO_03277__gene,3902
cnv_depth__IBNLCO_03278__IBNLCO_03278__gene__promoter,6789
cnv_depth__IBNLCO_03277__IBNLCO_03277__gene__promoter,7544
cnv_depth__IBNLCO_03278__Ribosomal__CDS,3967
cnv_depth__IBNLCO_03279__rlpA__gene,1345
cnv_depth__IBNLCO_03279__Endolytic__CDS__promoter,7040
cnv_depth__IBNLCO_03280__IBNLCO_03280__gene__promoter,3744
cnv_depth__IBNLCO_03280__IBNLCO_03280__gene,8016
cnv_depth__IBNLCO_03281__IBNLCO_03281__gene__promoter,4144
cnv_depth__IBNLCO_03281__IBNLCO_03281__gene,8453
cnv_depth__IBNLCO_03282__asnC__gene__promoter,5974
cnv_depth__IBNLCO_03282__AsnC__CDS,5220
cnv_depth__IBNLCO_03283__fieF__gene,7726
cnv_depth__IBNLCO_03283__fieF__gene__promoter,7550
cnv_depth__IBNLCO_03284__IBNLCO_03284__gene,3594
cnv_depth__IBNLCO_03284__IBNLCO_03284__gene__promoter,7670
cnv_depth__IBNLCO_03285__IBNLCO_03285__gene,5313
cnv_depth__IBNLCO_03285__IBNLCO_03285__gene__promoter,4006
cnv_depth__IBNLCO_03286__hypothetical__CDS__promoter,2997
cnv_depth__IBNLCO_03286__IBNLCO_03286__gene,4942
cnv_depth__IBNLCO_03287__IBNLCO_03287__gene,7509
cnv_depth__IBNLCO_03287__IBNLCO_03287__gene__promoter,6118
cnv_depth__IBNLCO_03288__IBNLCO_03288__gene,3052
cnv_depth__IBNLCO_03288__Propionate__CDS__promoter,4196
cnv_depth__IBNLCO_03289__Dienelactone__CDS__promoter,2946
cnv_depth__IBNLCO_03289__Dienelactone__CDS,2958
cnv_depth__IBNLCO_03290__Aspartyl-tRNA(Asn)__CDS__promoter,3253
cnv_depth__IBNLCO_03290__Aspartyl-tRNA(Asn)__CDS,3424
cnv_depth__IBNLCO_03291__IBNLCO_03291__gene,1531
cnv_depth__IBNLCO_03291__IBNLCO_03291__gene__promoter,182
cnv_depth__IBNLCO_03292__IBNLCO_03292__gene,182
cnv_depth__IBNLCO_03292__IBNLCO_03292__gene__promoter,6393
cnv_depth__IBNLCO_03293__IBNLCO_03293__gene,7892
cnv_depth__IBNLCO_03293__IBNLCO_03293__gene__promoter,692
cnv_depth__unknown__unknown__regulatory.13,692
cnv_depth__IBNLCO_03294__flagellar__CDS,9170
cnv_depth__IBNLCO_03294__flagellar__CDS__promoter,6053
cnv_depth__IBNLCO_03295__flhG__gene,5809
cnv_depth__IBNLCO_03296__flhF__gene,3759
cnv_depth__IBNLCO_03295__flagellar__CDS__promoter,9678
cnv_depth__IBNLCO_03297__flhA__gene,6793
cnv_depth__IBNLCO_03296__flagellar__CDS__promoter,3576
cnv_depth__IBNLCO_03298__flhB__gene,3964
cnv_depth__IBNLCO_03297__flhA__gene__promoter,3510
cnv_depth__IBNLCO_03298__flhB__gene__promoter,4395
cnv_depth__IBNLCO_03299__3-demethylubiquinone-9__CDS,6288
cnv_depth__IBNLCO_03299__IBNLCO_03299__gene__promoter,2624
cnv_depth__IBNLCO_03300__IBNLCO_03300__gene,2868
cnv_depth__IBNLCO_03300__gnl|Bakta|IBNLCO_03300__CDS__promoter,2747
cnv_depth__IBNLCO_03301__hypothetical__CDS,5422
cnv_depth__IBNLCO_03301__hypothetical__CDS__promoter,3160
cnv_depth__IBNLCO_03302__chemotaxis__CDS,8727
cnv_depth__IBNLCO_03302__chemotaxis__CDS__promoter,4746
cnv_depth__IBNLCO_03303__chemotaxis__CDS,3919
cnv_depth__IBNLCO_03303__cheY__gene__promoter,6492
cnv_depth__IBNLCO_03304__chemotaxis-specific__CDS,4622
cnv_depth__IBNLCO_03304__chemotaxis-specific__CDS__promoter,4489
cnv_depth__IBNLCO_03305__chemoreceptor__CDS,2497
cnv_depth__IBNLCO_03306__chemotaxis__CDS,2869
cnv_depth__IBNLCO_03305__cheD__gene__promoter,7136
cnv_depth__IBNLCO_03306__cheR__gene__promoter,4764
cnv_depth__IBNLCO_03307__methyl-accepting__CDS,2790
cnv_depth__IBNLCO_03307__tsr__gene__promoter,4289
cnv_depth__IBNLCO_03308__chemotaxis__CDS,7142
cnv_depth__IBNLCO_03308__chemotaxis__CDS__promoter,9299
cnv_depth__IBNLCO_03309__cheA__gene,6547
cnv_depth__IBNLCO_03309__cheA__gene__promoter,8354
cnv_depth__IBNLCO_03310__chemotaxis__CDS,3609
cnv_depth__IBNLCO_03310__cheY1__gene__promoter,2563
cnv_depth__IBNLCO_03311__flagellar__CDS,4280
cnv_depth__IBNLCO_03311__motB__gene__promoter,9268
cnv_depth__IBNLCO_03312__flagellar__CDS,3990
cnv_depth__IBNLCO_03312__flagellar__CDS__promoter,6447
cnv_depth__IBNLCO_03313__flhC__gene,3888
cnv_depth__IBNLCO_03313__flhC__gene__promoter,9655
cnv_depth__IBNLCO_03314__flhD__gene,4584
cnv_depth__IBNLCO_03314__Flagellar__CDS__promoter,3823
cnv_depth__IBNLCO_03315__IBNLCO_03315__gene__promoter,3168
cnv_depth__IBNLCO_03315__IBNLCO_03315__gene,4873
cnv_depth__IBNLCO_03316__IBNLCO_03316__gene,2688
cnv_depth__IBNLCO_03316__IBNLCO_03316__gene__promoter,9688
cnv_depth__IBNLCO_03317__IBNLCO_03317__gene__promoter,6993
cnv_depth__IBNLCO_03317__IBNLCO_03317__gene,4010
cnv_depth__IBNLCO_03318__IBNLCO_03318__gene,4204
cnv_depth__IBNLCO_03318__IBNLCO_03318__gene__promoter,3179
cnv_depth__IBNLCO_03319__gspK__gene,5968
cnv_depth__IBNLCO_03320__DNA-3-methyladenine__CDS__promoter,302
cnv_depth__IBNLCO_03319__Glucosamine__CDS__promoter,302
cnv_depth__IBNLCO_03320__IBNLCO_03320__gene,5058
cnv_depth__IBNLCO_03321__IBNLCO_03321__gene,9425
cnv_depth__IBNLCO_03321__Small__CDS__promoter,6947
cnv_depth__IBNLCO_03322__gnl|Bakta|IBNLCO_03322__CDS__promoter,2461
cnv_depth__IBNLCO_03322__fliC__gene,9077
cnv_depth__IBNLCO_03323__flagellar__CDS__promoter,2827
cnv_depth__IBNLCO_03323__fliD__gene,8484
cnv_depth__IBNLCO_03324__fliT__gene__promoter,6464
cnv_depth__IBNLCO_03324__Flagellar__CDS,6806
cnv_depth__IBNLCO_03325__protein__CDS__promoter,4136
cnv_depth__IBNLCO_03325__IBNLCO_03325__gene,3584
cnv_depth__IBNLCO_03326__vioA__gene__promoter,7673
cnv_depth__IBNLCO_03326__vioA__gene,9027
cnv_depth__IBNLCO_03327__IBNLCO_03327__gene__promoter,6040
cnv_depth__IBNLCO_03327__IBNLCO_03327__gene,285
cnv_depth__IBNLCO_03328__Carrier__CDS__promoter,285
cnv_depth__IBNLCO_03328__IBNLCO_03328__gene,285
cnv_depth__IBNLCO_03329__IBNLCO_03329__gene__promoter,285
cnv_depth__IBNLCO_03329__IBNLCO_03329__gene,381
cnv_depth__IBNLCO_03330__fabG__gene__promoter,3343
cnv_depth__IBNLCO_03330__fabG__gene,285
cnv_depth__IBNLCO_03331__Putative__CDS__promoter,285
cnv_depth__IBNLCO_03331__epsM__gene,285
cnv_depth__IBNLCO_03332__IBNLCO_03332__gene__promoter,285
cnv_depth__IBNLCO_03332__Rieske__CDS,381
cnv_depth__IBNLCO_03333__IBNLCO_03333__gene,381
cnv_depth__IBNLCO_03333__IBNLCO_03333__gene__promoter,6400
cnv_depth__IBNLCO_03334__IBNLCO_03334__gene,381
cnv_depth__IBNLCO_03335__IBNLCO_03335__gene__promoter,7584
cnv_depth__IBNLCO_03334__IBNLCO_03334__gene__promoter,2083
cnv_depth__IBNLCO_03335__IBNLCO_03335__gene,5202
cnv_depth__IBNLCO_03336__phospholipase__CDS,5494
cnv_depth__IBNLCO_03336__phospholipase__CDS__promoter,5133
cnv_depth__IBNLCO_03337__gnl|Bakta|IBNLCO_03337__CDS__promoter,7293
cnv_depth__IBNLCO_03338__gnl|Bakta|IBNLCO_03338__CDS,6602
cnv_depth__IBNLCO_03338__gnl|Bakta|IBNLCO_03338__CDS__promoter,1465
cnv_depth__IBNLCO_03339__csgG__gene,4094
cnv_depth__IBNLCO_03339__Curli__CDS__promoter,2703
cnv_depth__IBNLCO_03340__IBNLCO_03340__gene,4166
cnv_depth__IBNLCO_03341__AB__CDS__promoter,4502
cnv_depth__IBNLCO_03340__hypothetical__CDS__promoter,4631
cnv_depth__IBNLCO_03341__IBNLCO_03341__gene,3761
cnv_depth__IBNLCO_03342__IBNLCO_03342__gene,3814
cnv_depth__IBNLCO_03342__Methyl-accepting__CDS__promoter,7204
cnv_depth__IBNLCO_03343__IBNLCO_03343__gene,7674
cnv_depth__IBNLCO_03343__IBNLCO_03343__gene__promoter,3040
cnv_depth__IBNLCO_03344__hypothetical__CDS,4646
cnv_depth__IBNLCO_03344__IBNLCO_03344__gene__promoter,4307
cnv_depth__IBNLCO_03345__IBNLCO_03345__gene,6802
cnv_depth__IBNLCO_03345__hypothetical__CDS__promoter,7369
cnv_depth__IBNLCO_03346__gnl|Bakta|IBNLCO_03346__CDS,2776
cnv_depth__IBNLCO_03346__IBNLCO_03346__gene__promoter,8578
cnv_depth__IBNLCO_03347__DUF3396__CDS,301
cnv_depth__IBNLCO_03348__VRR-NUC__CDS,301
cnv_depth__IBNLCO_03347__IBNLCO_03347__gene__promoter,8078
cnv_depth__IBNLCO_03349__PAAR__CDS,413
cnv_depth__IBNLCO_03348__VRR-NUC__CDS__promoter,413
cnv_depth__IBNLCO_03349__PAAR__CDS__promoter,9382
cnv_depth__IBNLCO_03350__PIN__CDS,6614
cnv_depth__IBNLCO_03350__PIN__CDS__promoter,4817
cnv_depth__IBNLCO_03351__Site-specific__CDS,3437
cnv_depth__IBNLCO_03351__Site-specific__CDS__promoter,8572
cnv_depth__IBNLCO_03352__tRNA-Arg(ccg)__tRNA,4807
cnv_depth__IBNLCO_03352__trnR__gene__promoter,95
cnv_depth__IBNLCO_03353__IBNLCO_03353__gene__promoter,95
cnv_depth__IBNLCO_03353__IBNLCO_03353__gene,2587
cnv_depth__IBNLCO_03354__IBNLCO_03354__gene,8731
cnv_depth__IBNLCO_03354__IBNLCO_03354__gene__promoter,9324
cnv_depth__IBNLCO_03355__Fusaric__CDS__promoter,9321
cnv_depth__IBNLCO_03355__IBNLCO_03355__gene,8725
cnv_depth__IBNLCO_03356__SGNH__CDS__promoter,7950
cnv_depth__IBNLCO_03356__IBNLCO_03356__gene,8944
cnv_depth__IBNLCO_03357__gnl|Bakta|IBNLCO_03357__CDS__promoter,6962
cnv_depth__IBNLCO_03357__gnl|Bakta|IBNLCO_03357__CDS,1471
cnv_depth__IBNLCO_03358__hypothetical__CDS__promoter,1744
cnv_depth__IBNLCO_03358__IBNLCO_03358__gene,7605
cnv_depth__unknown__unknown__regulatory.14,1371
cnv_depth__IBNLCO_03359__gnl|Bakta|IBNLCO_03359__CDS__promoter,330
cnv_depth__unknown__unknown__regulatory.15,330
cnv_depth__IBNLCO_03359__IBNLCO_03359__gene,3458
cnv_depth__IBNLCO_03360__IBNLCO_03360__gene__promoter,3540
cnv_depth__IBNLCO_03360__Glycine__CDS,4009
cnv_depth__IBNLCO_03361__IBNLCO_03361__gene__promoter,3113
cnv_depth__IBNLCO_03362__IBNLCO_03362__gene__promoter,3535
cnv_depth__IBNLCO_03362__Alginate__CDS,2870
cnv_depth__IBNLCO_03363__L-serine__CDS__promoter,8729
cnv_depth__IBNLCO_03363__IBNLCO_03363__gene,2566
cnv_depth__IBNLCO_03364__IBNLCO_03364__gene,3732
cnv_depth__IBNLCO_03364__gnl|Bakta|IBNLCO_03364__CDS__promoter,322
cnv_depth__IBNLCO_03365__Acetolactate__CDS__promoter,322
cnv_depth__IBNLCO_03365__IBNLCO_03365__gene,4036
cnv_depth__IBNLCO_03366__IBNLCO_03366__gene__promoter,6034
cnv_depth__IBNLCO_03366__ADP-heptose--LPS__CDS,8034
cnv_depth__IBNLCO_03367__IBNLCO_03367__gene,4536
cnv_depth__IBNLCO_03367__IBNLCO_03367__gene__promoter,4773
cnv_depth__IBNLCO_03368__IBNLCO_03368__gene__promoter,8050
cnv_depth__IBNLCO_03368__IBNLCO_03368__gene,3475
cnv_depth__IBNLCO_03369__MFS__CDS,8049
cnv_depth__IBNLCO_03369__MFS__CDS__promoter,4714
cnv_depth__IBNLCO_03370__Ethanolamine__CDS,6836
cnv_depth__IBNLCO_03371__Ethanolamine__CDS,2297
cnv_depth__IBNLCO_03370__Ethanolamine__CDS__promoter,5411
cnv_depth__IBNLCO_03371__Ethanolamine__CDS__promoter,1532
cnv_depth__IBNLCO_03372__Amino__CDS,3287
cnv_depth__IBNLCO_03372__IBNLCO_03372__gene__promoter,3316
cnv_depth__IBNLCO_03373__IBNLCO_03373__gene__promoter,2860
cnv_depth__IBNLCO_03373__IBNLCO_03373__gene,5644
cnv_depth__IBNLCO_03374__IBNLCO_03374__gene,5142
cnv_depth__IBNLCO_03374__Small-conductance__CDS__promoter,4743
cnv_depth__IBNLCO_03375__IBNLCO_03375__gene,3081
cnv_depth__IBNLCO_03375__DZANK-type__CDS__promoter,2977
cnv_depth__IBNLCO_03376__Cadmium__CDS,6686
cnv_depth__IBNLCO_03377__Cd(II)/Pb(II)-responsive__CDS__promoter,8162
cnv_depth__IBNLCO_03376__Cadmium__CDS__promoter,3400
cnv_depth__IBNLCO_03377__Cd(II)/Pb(II)-responsive__CDS,8851
cnv_depth__IBNLCO_03378__padR__gene__promoter,5941
cnv_depth__IBNLCO_03378__padR__gene,6905
cnv_depth__IBNLCO_03379__IBNLCO_03379__gene,2730
cnv_depth__IBNLCO_03379__IBNLCO_03379__gene__promoter,6169
cnv_depth__IBNLCO_03380__FAD__CDS,6896
cnv_depth__IBNLCO_03380__FAD__CDS__promoter,6685
cnv_depth__IBNLCO_03381__Solute-binding__CDS,5730
cnv_depth__IBNLCO_03381__IBNLCO_03381__gene__promoter,9318
cnv_depth__IBNLCO_03382__IBNLCO_03382__gene,6315
cnv_depth__IBNLCO_03382__Aspartate__CDS__promoter,3135
cnv_depth__IBNLCO_03383__betI__gene,6607
cnv_depth__IBNLCO_03384__aidB__gene__promoter,2734
cnv_depth__IBNLCO_03383__betI__gene__promoter,3539
cnv_depth__IBNLCO_03384__aidB__gene,4726
cnv_depth__IBNLCO_03385__Short-chain-fatty-acid--CoA__CDS__promoter,3026
cnv_depth__IBNLCO_03385__IBNLCO_03385__gene,3280
cnv_depth__IBNLCO_03386__IBNLCO_03386__gene,4538
cnv_depth__IBNLCO_03386__IBNLCO_03386__gene__promoter,6422
cnv_depth__IBNLCO_03387__putA__gene__promoter,212
cnv_depth__IBNLCO_03388__IBNLCO_03388__gene__promoter,212
cnv_depth__IBNLCO_03388__hypothetical__CDS,6934
cnv_depth__IBNLCO_03389__IBNLCO_03389__gene,8210
cnv_depth__IBNLCO_03389__Primosomal__CDS__promoter,4732
cnv_depth__unknown__unknown__rep_origin.1,9097
cnv_depth__IBNLCO_03391__IBNLCO_03391__gene__promoter,215
cnv_depth__IBNLCO_03390__Uroporphyrinogen__CDS__promoter,215
cnv_depth__IBNLCO_03391__IBNLCO_03391__gene,4093
cnv_depth__IBNLCO_03392__IBNLCO_03392__gene,2548
cnv_depth__IBNLCO_03392__CoA-binding__CDS__promoter,399
cnv_depth__IBNLCO_03393__Bp1_781__gene__promoter,399
cnv_depth__IBNLCO_03393__Bp1_781__gene,4272
cnv_depth__IBNLCO_03394__IBNLCO_03394__gene,4733
cnv_depth__IBNLCO_03394__3-[(3aS%2C4S%2C7aS)-7a-methyl-1%2C__CDS__promoter,2693
cnv_depth__IBNLCO_03395__IBNLCO_03395__gene,3635
cnv_depth__IBNLCO_03395__hypothetical__CDS__promoter,4083
cnv_depth__IBNLCO_03396__ATP__CDS,4738
cnv_depth__IBNLCO_03396__ATP__CDS__promoter,5688
cnv_depth__IBNLCO_03397__ATP__CDS,9286
cnv_depth__IBNLCO_03397__ATP__CDS__promoter,7410
cnv_depth__IBNLCO_03398__ATP__CDS,4838
cnv_depth__IBNLCO_03398__IBNLCO_03398__gene__promoter,2298
cnv_depth__IBNLCO_03399__IBNLCO_03399__gene,7024
cnv_depth__IBNLCO_03399__IBNLCO_03399__gene__promoter,488
cnv_depth__IBNLCO_03400__IBNLCO_03400__gene,488
cnv_depth__IBNLCO_03400__IBNLCO_03400__gene__promoter,9680
cnv_depth__IBNLCO_03401__IBNLCO_03401__gene,5289
cnv_depth__IBNLCO_03401__ATP__CDS__promoter,4774
cnv_depth__IBNLCO_03402__ATP__CDS,8850
cnv_depth__IBNLCO_03402__ATP__CDS__promoter,8738
cnv_depth__IBNLCO_03403__IBNLCO_03403__gene,5190
cnv_depth__IBNLCO_03403__IBNLCO_03403__gene__promoter,6218
cnv_depth__IBNLCO_03404__Citrate__CDS,2653
cnv_depth__IBNLCO_03404__IBNLCO_03404__gene__promoter,3322
cnv_depth__IBNLCO_03405__putative__CDS,4544
cnv_depth__IBNLCO_03405__parB__gene__promoter,6730
cnv_depth__IBNLCO_03406__IBNLCO_03406__gene,9345
cnv_depth__IBNLCO_03406__Sporulation__CDS__promoter,9532
cnv_depth__IBNLCO_03407__Ribosomal__CDS,8082
cnv_depth__IBNLCO_03408__mnmG__gene,58
cnv_depth__IBNLCO_03407__IBNLCO_03407__gene__promoter,4185
cnv_depth__IBNLCO_03408__mnmG__gene__promoter,3671
cnv_depth__IBNLCO_03409__ABC__CDS,8891
cnv_depth__IBNLCO_03409__ABC__CDS__promoter,6800
cnv_depth__IBNLCO_03410__ABC__CDS,4950
cnv_depth__IBNLCO_03410__ABC__CDS__promoter,9342
cnv_depth__IBNLCO_03411__IBNLCO_03411__gene,5630
cnv_depth__IBNLCO_03411__IBNLCO_03411__gene__promoter,4124
cnv_depth__IBNLCO_03412__IBNLCO_03412__gene,3911
cnv_depth__IBNLCO_03412__IBNLCO_03412__gene__promoter,4633
cnv_depth__IBNLCO_03413__IBNLCO_03413__gene,3796
cnv_depth__IBNLCO_03413__IBNLCO_03413__gene__promoter,8480
cnv_depth__IBNLCO_03414__ncS01__gene,9447
cnv_depth__IBNLCO_03414__ncS01__gene__promoter,7713
cnv_depth__IBNLCO_03415__IBNLCO_03415__gene,9364
cnv_depth__IBNLCO_03416__Branched-chain__CDS,4617
cnv_depth__IBNLCO_03415__IBNLCO_03415__gene__promoter,4210
cnv_depth__IBNLCO_03416__IBNLCO_03416__gene__promoter,3882
cnv_depth__IBNLCO_03417__Leucine-binding__CDS,9700
cnv_depth__IBNLCO_03417__IBNLCO_03417__gene__promoter,4062
cnv_depth__IBNLCO_03418__IBNLCO_03418__gene,4286
cnv_depth__IBNLCO_03419__Lipopolysaccharide__CDS,4843
cnv_depth__IBNLCO_03418__ABC__CDS__promoter,3603
cnv_depth__IBNLCO_03419__Lipopolysaccharide__CDS__promoter,4033
cnv_depth__IBNLCO_03420__IBNLCO_03420__gene,3774
cnv_depth__IBNLCO_03420__IBNLCO_03420__gene__promoter,4485
