cnv_feature,spearman_r,p_value,p_value_adj,cohens_d,significant_fdr
cnv_depth__IBNLCO_00055__Glucose-methanol-choline__CDS,0.6254418138066397,2.1565637195495508e-25,,1.402623280503047,True
cnv_depth__IBNLCO_01739__Family__CDS,-0.623307685688555,3.490777263397466e-25,,-1.4833623293826066,True
cnv_depth__IBNLCO_03600__IBNLCO_03600__gene,0.6231654104806829,3.604200256292262e-25,,1.288645101966034,True
cnv_depth__IBNLCO_01641__IBNLCO_01641__gene,-0.6228808600649381,3.8420330670813477e-25,,-1.2491749481876084,True
cnv_depth__IBNLCO_00792__bpeB__gene__promoter,0.6221694840255767,4.506269622991549e-25,,1.554969423144904,True
cnv_depth__IBNLCO_03281__IBNLCO_03281__gene,0.621884933609832,4.802528532929401e-25,,1.3348244242623837,True
cnv_depth__IBNLCO_03254__IBNLCO_03254__gene,0.6217426584019597,4.957762577561458e-25,,1.0953777211722158,True
cnv_depth__IBNLCO_03305__chemoreceptor__CDS,0.6213158327783428,5.4536921899335e-25,,1.3457489092665929,True
cnv_depth__IBNLCO_05625__Uncharacterized__CDS__promoter,0.6207467319468536,6.191535504616282e-25,,0.900973993984071,True
cnv_depth__IBNLCO_03595__IBNLCO_03595__gene,0.6198930806996199,7.485984967449782e-25,,1.193134471449616,True
cnv_depth__IBNLCO_03202__IBNLCO_03202__gene,0.6188971542445137,9.33517584210099e-25,,1.4442579863548635,True
cnv_depth__IBNLCO_01645__Outer__CDS,-0.6181857782051523,1.0924317204841693e-24,,-1.4930280861295948,True
cnv_depth__IBNLCO_00198__ATP-dependent__CDS,0.6179012277894076,1.1631998631898248e-24,,1.5073167718197396,True
cnv_depth__IBNLCO_05626__IBNLCO_05626__gene__promoter,0.6169053013343014,1.4482586827543127e-24,,1.3659584993446048,True
cnv_depth__IBNLCO_04634__jamP__gene,-0.6160516500870676,1.746504559383438e-24,,-1.488452588631131,True
cnv_depth__IBNLCO_03226__Large__CDS__promoter,0.615767099671323,1.858756576086969e-24,,1.3288414207657855,True
cnv_depth__IBNLCO_03249__IBNLCO_03249__gene,0.615767099671323,1.858756576086969e-24,,1.3914564967100698,True
cnv_depth__IBNLCO_01476__IBNLCO_01476__gene,-0.6154825492555784,1.978098177273471e-24,,-1.0043997820103074,True
cnv_depth__IBNLCO_03455__hypothetical__CDS,0.6151979988398338,2.104969154002167e-24,,1.3945676757968735,True
cnv_depth__IBNLCO_03368__IBNLCO_03368__gene,0.6146288980083445,2.3831939118118372e-24,,1.4354974374951284,True
cnv_depth__IBNLCO_00074__IBNLCO_00074__gene,0.6142020723847278,2.6153082826911662e-24,,1.3202062760555333,True
cnv_depth__IBNLCO_00111__IBNLCO_00111__gene,0.6140597971768553,2.6975142982185487e-24,,1.4115938128458116,True
cnv_depth__IBNLCO_00008__hxcR__gene,0.6137752467611108,2.8696244291199305e-24,,1.457405244239497,True
cnv_depth__IBNLCO_03124__IBNLCO_03124__gene,0.6136329715532386,2.9596851237014843e-24,,1.2379267950720456,True
cnv_depth__IBNLCO_03498__UvrABC__CDS,0.6126370450981325,3.672811287435255e-24,,1.3441150294704987,True
cnv_depth__IBNLCO_00041__IBNLCO_00041__gene,0.6123524946823877,3.905928354627814e-24,,1.3704578658040087,True
cnv_depth__IBNLCO_04550__IBNLCO_04550__gene,-0.611925669058771,4.28313846465095e-24,,-1.5002764744559027,True
cnv_depth__IBNLCO_03386__IBNLCO_03386__gene,0.6112142930194094,4.992948690282457e-24,,1.388198658012359,True
cnv_depth__IBNLCO_00244__Proline/betaine__CDS,0.6107874673957926,5.473100854574789e-24,,1.4047278848437852,True
cnv_depth__IBNLCO_01673__phosphoribosylglycinamide__CDS,-0.6102183665643034,6.184549738398646e-24,,-1.4804038977816132,True
cnv_depth__IBNLCO_05674__Bactoprenol__CDS,0.6099338161485587,6.573630282657575e-24,,1.401401383134433,True
cnv_depth__IBNLCO_03097__tssM__gene,0.6097915409406864,6.777099348150762e-24,,1.3127538009998885,True
cnv_depth__IBNLCO_00117__Protease__CDS,0.6095069905249417,7.202794050331809e-24,,1.3046101873901141,True
cnv_depth__IBNLCO_03293__IBNLCO_03293__gene,0.6089378896934526,8.134584482477366e-24,,1.261406294910834,True
cnv_depth__IBNLCO_03241__SGNH__CDS,0.6080842384462187,9.758604104634432e-24,,1.3710927310876417,True
cnv_depth__IBNLCO_03282__AsnC__CDS,0.6079419632383465,1.0058654717875576e-23,,1.483775292514767,True
cnv_depth__IBNLCO_03201__Large__CDS__promoter,0.606803761575368,1.2809135622585266e-23,,1.4683026015649885,True
cnv_depth__IBNLCO_02131__Chromosome__CDS,-0.6063769359517511,1.4020989101930594e-23,,-1.3520345535480562,True
cnv_depth__IBNLCO_00272__flgG__gene,0.6062346607438788,1.4449465897757497e-23,,1.3408641806190253,True
cnv_depth__IBNLCO_00022__IBNLCO_00022__gene,0.6055232847045173,1.6792648866639195e-23,,1.2640602280058695,True
cnv_depth__IBNLCO_00180__mreB__gene,0.6052387342887728,1.7831192188861074e-23,,1.4304080407456001,True
cnv_depth__IBNLCO_01662__TauD/TfdA-like__CDS,-0.6052387342887728,1.7831192188861074e-23,,-1.4636996354998166,True
cnv_depth__IBNLCO_04342__dmlR__gene,-0.6052387342887728,1.7831192188861074e-23,,-1.0806117491874896,True
cnv_depth__IBNLCO_04524__Lipoprotein__CDS,-0.6050964590809004,1.8373892587300056e-23,,-1.3887126014059707,True
cnv_depth__IBNLCO_01896__ATP__CDS,-0.6049541838730281,1.8932825906543724e-23,,-1.510921156264621,True
cnv_depth__IBNLCO_00234__bcaP__gene,0.6048119086651559,1.950846910086905e-23,,1.4017251467179053,True
cnv_depth__IBNLCO_00178__mreD__gene__promoter,0.6046696334572836,2.0101312883058926e-23,,1.2976660474001827,True
cnv_depth__IBNLCO_01446__IBNLCO_01446__gene,-0.6043850830415388,2.134063620213393e-23,,-1.4044405285318287,True
cnv_depth__IBNLCO_01439__IBNLCO_01439__gene,-0.6038159822100497,2.4048901852534302e-23,,-1.4366659091763454,True
cnv_depth__IBNLCO_01868__IBNLCO_01868__gene,-0.6038159822100497,2.4048901852534302e-23,,-1.347563414141874,True
cnv_depth__IBNLCO_00023__lysR__gene__promoter,0.6038159822100497,2.4048901852534302e-23,,1.2672347940985076,True
cnv_depth__IBNLCO_01698__hypothetical__CDS,-0.6038159822100497,2.4048901852534302e-23,,-1.4885234006187904,True
cnv_depth__IBNLCO_03439__IBNLCO_03439__gene,0.6036737070021774,2.4777129990391018e-23,,1.3837364367193767,True
cnv_depth__IBNLCO_05826__IBNLCO_05826__gene__promoter,0.6036737070021774,2.4777129990391018e-23,,1.2519739059927861,True
cnv_depth__IBNLCO_03224__DNA-directed__CDS,0.6033891565864328,2.6299231713847596e-23,,1.2403400753035656,True
cnv_depth__IBNLCO_03484__Cysteine/O-acetylserine__CDS,0.6031046061706882,2.791317492588815e-23,,1.1122208141861547,True
cnv_depth__IBNLCO_01656__Putative__CDS,-0.6026777805470712,3.051827901822921e-23,,-1.4393281741775599,True
cnv_depth__IBNLCO_04698__Xylulose__CDS,-0.602535505339199,3.143866293862199e-23,,-1.154833747344914,True
cnv_depth__IBNLCO_03464__HTH__CDS__promoter,0.6022509549234544,3.336205478887242e-23,,1.411275403500215,True
cnv_depth__IBNLCO_01735__IBNLCO_01735__gene,-0.6022509549234544,3.336205478887242e-23,,-1.0361792268038046,True
cnv_depth__IBNLCO_03418__IBNLCO_03418__gene,0.6018241292998375,3.646595647046019e-23,,1.132868639298015,True
cnv_depth__IBNLCO_03210__Small__CDS,0.6012550284683482,4.104977494607106e-23,,1.3340885631971797,True
cnv_depth__IBNLCO_02027__IBNLCO_02027__gene,-0.601112753260476,4.228151543851845e-23,,-1.447413378412029,True
cnv_depth__IBNLCO_04794__IBNLCO_04794__gene,-0.601112753260476,4.228151543851845e-23,,-1.3565919180192925,True
cnv_depth__IBNLCO_00171__IBNLCO_00171__gene,0.601112753260476,4.228151543851845e-23,,1.2499812171997278,True
cnv_depth__IBNLCO_04612__PABS__CDS,-0.6005436524289868,4.758232024074042e-23,,-1.482659884892311,True
cnv_depth__IBNLCO_00892__IBNLCO_00892__gene__promoter,0.6001168268053698,5.198162501919987e-23,,1.2638579087207338,True
cnv_depth__IBNLCO_03336__phospholipase__CDS,0.5992631755581361,6.201351707563732e-23,,1.0896970657351615,True
cnv_depth__IBNLCO_04747__P9__gene__promoter,-0.5988363499345191,6.772029866972178e-23,,-1.2801358193546504,True
cnv_depth__IBNLCO_04767__diguanylate__CDS,-0.5988363499345191,6.772029866972178e-23,,-1.432767588309353,True
cnv_depth__IBNLCO_03122__IBNLCO_03122__gene,0.5979826986872854,8.072590595678296e-23,,1.1588678186199606,True
cnv_depth__IBNLCO_00051__Phenylacetaldehyde__CDS__promoter,0.5972713226479238,9.341524171306525e-23,,1.360054256742158,True
cnv_depth__IBNLCO_03462__Methyltransferase__CDS,0.5972713226479238,9.341524171306525e-23,,1.3169040192371138,True
cnv_depth__IBNLCO_00191__IBNLCO_00191__gene,0.596844497024307,1.0194950526936342e-22,,1.0881173026245545,True
cnv_depth__IBNLCO_03601__IBNLCO_03601__gene,0.5965599466085623,1.0806008804910124e-22,,0.8794909382991506,True
cnv_depth__IBNLCO_03149__Intermembrane__CDS,0.5965599466085623,1.0806008804910124e-22,,1.2192746770922882,True
cnv_depth__IBNLCO_03405__putative__CDS,0.5954217449455839,1.3631249476376855e-22,,1.3788641030595947,True
cnv_depth__IBNLCO_05031__IBNLCO_05031__gene__promoter,0.5954217449455839,1.3631249476376855e-22,,1.282135865211139,True
cnv_depth__IBNLCO_01732__araC__gene,-0.5951371945298393,1.4444110767246812e-22,,-1.4014439729410415,True
cnv_depth__IBNLCO_01999__selO__gene,-0.5948526441140947,1.5304566832552633e-22,,-1.4176595239093641,True
cnv_depth__IBNLCO_03125__IBNLCO_03125__gene,0.5941412680747332,1.768226298025069e-22,,1.0974356030953705,True
cnv_depth__IBNLCO_00177__mrdA__gene,0.5932876168274993,2.1018100571542838e-22,,1.2773516422408084,True
cnv_depth__IBNLCO_00322__IBNLCO_00322__gene,0.5931453416196271,2.163122418430042e-22,,1.3329638542769857,True
cnv_depth__IBNLCO_03108__IBNLCO_03108__gene,0.5928607912038824,2.2910673332590085e-22,,1.1048071741727916,True
cnv_depth__IBNLCO_05624__IBNLCO_05624__gene__promoter,0.5927185159960101,2.357800108114691e-22,,1.050269288252235,True
cnv_depth__IBNLCO_03632__IBNLCO_03632__gene__promoter,0.5925762407881379,2.426442219903318e-22,,1.0979725989666844,True
cnv_depth__IBNLCO_03417__Leucine-binding__CDS,0.5921494151645209,2.6443683451600173e-22,,0.9784027917338669,True
cnv_depth__IBNLCO_04604__hypothetical__CDS,-0.591722589540904,2.881500199969849e-22,,-1.5231867673872375,True
cnv_depth__IBNLCO_03407__Ribosomal__CDS,0.591722589540904,2.881500199969849e-22,,1.2614340720584523,True
cnv_depth__IBNLCO_00009__IBNLCO_00009__gene,0.5914380391251595,3.0510720199212256e-22,,1.1937081687480613,True
cnv_depth__IBNLCO_03441__IBNLCO_03441__gene__promoter,0.5914380391251595,3.0510720199212256e-22,,1.4627542775760258,True
cnv_depth__IBNLCO_00387__IBNLCO_00387__gene__promoter,0.5912957639172872,3.1394977369038444e-22,,0.641680554807133,True
cnv_depth__IBNLCO_00240__gnl|Bakta|IBNLCO_00240__CDS__promoter,0.5911534887094148,3.2304406742116146e-22,,1.2774713388252201,True
cnv_depth__IBNLCO_01709__Putative__CDS,-0.5910112135015424,3.323971179234993e-22,,-0.8041362902562532,True
cnv_depth__IBNLCO_03196__Protein__CDS__promoter,0.5908689382936703,3.42016152825856e-22,,1.0820748125554172,True
