feature,coefficient,abs_coefficient
cnv_depth__IBNLCO_04305__DUF4148__CDS__promoter,0.021684814389330984,0.021684814389330984
cnv_depth__IBNLCO_05125__LysR-family__CDS__promoter,0.021667188852700504,0.021667188852700504
cnv_depth__IBNLCO_04148__hypothetical__CDS,0.02166626375127164,0.02166626375127164
cnv_depth__IBNLCO_04004__Formaldehyde__CDS__promoter,-0.021615077706499307,0.021615077706499307
cnv_depth__IBNLCO_02474__Cobalamin__CDS,0.021578068010158352,0.021578068010158352
cnv_depth__IBNLCO_00838__tRNA__CDS__promoter,-0.021568071247533002,0.021568071247533002
cnv_depth__IBNLCO_05168__IBNLCO_05168__gene__promoter,0.021485933343187,0.021485933343187
cnv_depth__IBNLCO_02433__hypothetical__CDS__promoter,0.021370940005603134,0.021370940005603134
cnv_depth__IBNLCO_04106__MurR/RpiR__CDS,-0.021365654491655055,0.021365654491655055
cnv_depth__IBNLCO_02078__DUF1993__CDS__promoter,0.02135048945027486,0.02135048945027486
cnv_depth__IBNLCO_00439__PTS__CDS,-0.02126724189790367,0.02126724189790367
cnv_depth__IBNLCO_04026__3-dehydrocarnitine:acetyl-CoA__CDS__promoter,-0.021231722079118845,0.021231722079118845
cnv_depth__IBNLCO_04948__IBNLCO_04948__gene__promoter,-0.021113011713447673,0.021113011713447673
cnv_depth__IBNLCO_01899__IBNLCO_01899__gene__promoter,-0.021069038893859145,0.021069038893859145
cnv_depth__IBNLCO_05255__GTP__CDS__promoter,-0.02103305535660777,0.02103305535660777
cnv_depth__IBNLCO_04666__Beta-lactamase__CDS__promoter,-0.021021189497732753,0.021021189497732753
cnv_depth__IBNLCO_02604__3%2C4-dihydroxy-2-butanone__CDS,-0.020928600563218994,0.020928600563218994
cnv_depth__IBNLCO_03856__DNA__CDS,0.02090692108513136,0.02090692108513136
cnv_depth__IBNLCO_05683__IBNLCO_05683__gene,0.020894825482546217,0.020894825482546217
cnv_depth__IBNLCO_03355__Fusaric__CDS__promoter,0.020878575293749885,0.020878575293749885
cnv_depth__IBNLCO_02201__IBNLCO_02201__gene__promoter,0.020832677706271504,0.020832677706271504
cnv_depth__IBNLCO_02888__D-aminoacyl-tRNA__CDS__promoter,0.020825798872903863,0.020825798872903863
cnv_depth__IBNLCO_04565__Bifunctional__CDS__promoter,0.020769977886736443,0.020769977886736443
cnv_depth__IBNLCO_04088__IBNLCO_04088__gene__promoter,0.020694325278933903,0.020694325278933903
cnv_depth__IBNLCO_02126__Bifunctional__CDS__promoter,0.020678066239522258,0.020678066239522258
cnv_depth__IBNLCO_03675__IBNLCO_03675__gene__promoter,0.020662956994857342,0.020662956994857342
cnv_depth__IBNLCO_04143__IBNLCO_04143__gene__promoter,-0.02058097056932029,0.02058097056932029
cnv_depth__IBNLCO_04850__secD__gene__promoter,-0.02055455229725516,0.02055455229725516
cnv_depth__IBNLCO_01312__CRM__CDS,0.020542301375097143,0.020542301375097143
cnv_depth__IBNLCO_02915__MFS__CDS__promoter,0.020457470725328327,0.020457470725328327
cnv_depth__IBNLCO_02698__IBNLCO_02698__gene__promoter,0.02044750507973077,0.02044750507973077
cnv_depth__IBNLCO_03567__IBNLCO_03567__gene,-0.020425232707546544,0.020425232707546544
cnv_depth__IBNLCO_05426__IBNLCO_05426__gene__promoter,0.02036307722815223,0.02036307722815223
cnv_depth__IBNLCO_02377__hpnL__gene__promoter,0.020342325595681214,0.020342325595681214
cnv_depth__IBNLCO_02614__IBNLCO_02614__gene__promoter,0.020334262586493606,0.020334262586493606
cnv_depth__IBNLCO_05056__Cellulose__CDS__promoter,-0.020291367679607514,0.020291367679607514
cnv_depth__IBNLCO_01297__proP__gene__promoter,-0.020229502077473985,0.020229502077473985
cnv_depth__IBNLCO_04197__Methyl-accepting__CDS__promoter,0.020211606772164124,0.020211606772164124
cnv_depth__IBNLCO_02584__IBNLCO_02584__gene,0.020193461449511892,0.020193461449511892
cnv_depth__IBNLCO_05164__gnl|Bakta|IBNLCO_05164__CDS,0.020163652472793635,0.020163652472793635
cnv_depth__IBNLCO_02512__IBNLCO_02512__gene__promoter,0.020121758064203635,0.020121758064203635
cnv_depth__IBNLCO_03095__hypothetical__CDS,0.020118300317515533,0.020118300317515533
cnv_depth__IBNLCO_00236__IBNLCO_00236__gene,0.02004555775150483,0.02004555775150483
cnv_depth__IBNLCO_03972__Succinyl-CoA:coenzyme__CDS__promoter,0.019961919819232066,0.019961919819232066
cnv_depth__IBNLCO_00653__lactoylglutathione__CDS__promoter,0.019920494919039095,0.019920494919039095
cnv_depth__IBNLCO_03663__LysR__CDS__promoter,0.0199114921981442,0.0199114921981442
cnv_depth__IBNLCO_01697__hypothetical__CDS__promoter,-0.019889850298938395,0.019889850298938395
cnv_depth__IBNLCO_00946__IBNLCO_00946__gene__promoter,0.019879365526157485,0.019879365526157485
cnv_depth__IBNLCO_05064__IBNLCO_05064__gene__promoter,0.01986855068242568,0.01986855068242568
cnv_depth__IBNLCO_02309__IBNLCO_02309__gene,0.019857364413613125,0.019857364413613125
cnv_depth__IBNLCO_02297__IBNLCO_02297__gene__promoter,-0.019854946884930544,0.019854946884930544
cnv_depth__IBNLCO_02833__IBNLCO_02833__gene__promoter,-0.019814914503118092,0.019814914503118092
cnv_depth__IBNLCO_03979__tssG__gene,-0.019787403901264006,0.019787403901264006
cnv_depth__IBNLCO_02173__Enoyl-[acyl-carrier-protein]__CDS__promoter,0.01975990475557975,0.01975990475557975
cnv_depth__IBNLCO_04316__Universal__CDS__promoter,0.019706484355893988,0.019706484355893988
cnv_depth__IBNLCO_04350__IBNLCO_04350__gene__promoter,-0.01970167566599651,0.01970167566599651
cnv_depth__IBNLCO_04097__hypothetical__CDS,-0.019655297251401554,0.019655297251401554
cnv_depth__IBNLCO_02402__trnG__gene__promoter,0.01964779473553746,0.01964779473553746
cnv_depth__IBNLCO_05234__Enterobactin__CDS__promoter,-0.019576863114089255,0.019576863114089255
cnv_depth__IBNLCO_04596__IBNLCO_04596__gene,-0.019557447585826875,0.019557447585826875
cnv_depth__IBNLCO_00581__IBNLCO_00581__gene__promoter,-0.01954962241562258,0.01954962241562258
cnv_depth__IBNLCO_05198__LLM__CDS,-0.019509818009328307,0.019509818009328307
cnv_depth__IBNLCO_04160__4-hydroxy-2-oxo-heptane-1%2C7-dioate__CDS__promoter,-0.01946705183401549,0.01946705183401549
cnv_depth__IBNLCO_04779__Glutathione__CDS__promoter,-0.019442078101013078,0.019442078101013078
cnv_depth__IBNLCO_04982__Type__CDS,-0.019418361407623187,0.019418361407623187
cnv_depth__IBNLCO_05022__bsaP__gene__promoter,-0.019413091401621795,0.019413091401621795
cnv_depth__IBNLCO_04741__yigZ__gene__promoter,-0.019396459072441533,0.019396459072441533
cnv_depth__IBNLCO_00406__VanZ__CDS__promoter,0.019361211268756996,0.019361211268756996
cnv_depth__IBNLCO_04283__IBNLCO_04283__gene,-0.019356197146687522,0.019356197146687522
cnv_depth__IBNLCO_05163__IBNLCO_05163__gene,0.01927332576912487,0.01927332576912487
cnv_depth__IBNLCO_04240__marR__gene__promoter,-0.019254093724366636,0.019254093724366636
cnv_depth__IBNLCO_05352__Phosphoglycerate__CDS,0.019253897107744153,0.019253897107744153
cnv_depth__IBNLCO_00297__IBNLCO_00297__gene__promoter,-0.019253752043947005,0.019253752043947005
cnv_depth__IBNLCO_01543__cpaE__gene__promoter,-0.019209430491050023,0.019209430491050023
cnv_depth__IBNLCO_04927__IBNLCO_04927__gene,-0.019192664674626846,0.019192664674626846
