,feature_name,importance
4802,cnv_depth__IBNLCO_03823__IBNLCO_03823__gene,0.0
4801,cnv_depth__IBNLCO_03823__UvrABC__CDS__promoter,0.0
4800,cnv_depth__IBNLCO_03822__Aspartate__CDS__promoter,0.0
4809,cnv_depth__IBNLCO_03827__4Fe-4S__CDS__promoter,0.0
4798,cnv_depth__IBNLCO_03821__IBNLCO_03821__gene,0.0
4778,cnv_depth__IBNLCO_03803__2-aminoethylphosphonate--pyruvate__CDS__promoter,0.0
4779,cnv_depth__IBNLCO_03804__2-aminoethylphosphonate__CDS__promoter,0.0
4780,cnv_depth__IBNLCO_03804__IBNLCO_03804__gene,0.0
4781,cnv_depth__IBNLCO_03807__ABC__CDS__promoter,0.0
4797,cnv_depth__IBNLCO_03821__3-hydroxybutyrate__CDS__promoter,0.0
4796,cnv_depth__IBNLCO_03820__IBNLCO_03820__gene,0.0
4782,cnv_depth__IBNLCO_03807__IBNLCO_03807__gene,0.0
4799,cnv_depth__IBNLCO_03822__IBNLCO_03822__gene,0.0
4790,cnv_depth__IBNLCO_03817__DUF3563__CDS__promoter,0.0
4813,cnv_depth__IBNLCO_03831__IBNLCO_03831__gene,0.0
4812,cnv_depth__IBNLCO_03830__hypothetical__CDS__promoter,0.0
4774,cnv_depth__IBNLCO_03801__Shikimate__CDS__promoter,0.0
4811,cnv_depth__IBNLCO_03829__BTH_s39__gene,0.0
4810,cnv_depth__IBNLCO_03827__IBNLCO_03827__gene,0.0
4783,cnv_depth__IBNLCO_03808__IBNLCO_03808__gene__promoter,0.0
4777,cnv_depth__IBNLCO_03803__IBNLCO_03803__gene,0.0
4807,cnv_depth__IBNLCO_03826__Ferrous__CDS__promoter,0.0
4806,cnv_depth__IBNLCO_03825__IBNLCO_03825__gene,0.0
4775,cnv_depth__IBNLCO_03801__Shikimate__CDS,0.0
4805,cnv_depth__IBNLCO_03825__hypothetical__CDS__promoter,0.0
4804,cnv_depth__IBNLCO_03824__IBNLCO_03824__gene,0.0
4776,cnv_depth__IBNLCO_03802__IBNLCO_03802__gene,0.0
4791,cnv_depth__IBNLCO_03817__IBNLCO_03817__gene,0.0
4792,cnv_depth__IBNLCO_03818__gnl|Bakta|IBNLCO_03818__CDS__promoter,0.0
4808,cnv_depth__IBNLCO_03826__efeU__gene,0.0
4897,cnv_depth__IBNLCO_03907__IBNLCO_03907__gene__promoter,0.0
4896,cnv_depth__IBNLCO_03904__AB__CDS,0.0
4895,cnv_depth__IBNLCO_03902__IBNLCO_03902__gene__promoter,0.0
4894,cnv_depth__IBNLCO_03901__Amidohydrolase__CDS,0.0
4893,cnv_depth__IBNLCO_03901__Amidohydrolase__CDS__promoter,0.0
4892,cnv_depth__IBNLCO_03900__XapX__CDS,0.0
4891,cnv_depth__IBNLCO_03900__xapX__gene__promoter,0.0
4890,cnv_depth__IBNLCO_03899__gnl|Bakta|IBNLCO_03899__CDS,0.0
4889,cnv_depth__IBNLCO_03898__IBNLCO_03898__gene__promoter,0.0
4888,cnv_depth__IBNLCO_03896__IBNLCO_03896__gene__promoter,0.0
4887,cnv_depth__IBNLCO_03897__DSBA__CDS,0.0
4886,cnv_depth__IBNLCO_03895__Transcriptional__CDS__promoter,0.0
4771,cnv_depth__IBNLCO_03799__3-dehydroshikimate__CDS__promoter,0.0
4884,cnv_depth__IBNLCO_03894__AraC-family__CDS,0.0
4883,cnv_depth__IBNLCO_03894__IBNLCO_03894__gene__promoter,0.0
4882,cnv_depth__IBNLCO_03893__Cyclic__CDS__promoter,0.0
4881,cnv_depth__IBNLCO_03892__IBNLCO_03892__gene__promoter,0.0
4880,cnv_depth__IBNLCO_03890__HTH-type__CDS__promoter,0.0
4879,cnv_depth__IBNLCO_03889__IBNLCO_03889__gene,0.0
4878,cnv_depth__IBNLCO_03889__IBNLCO_03889__gene__promoter,0.0
4877,cnv_depth__IBNLCO_03888__IBNLCO_03888__gene,0.0
4876,cnv_depth__IBNLCO_03871__IBNLCO_03871__gene__promoter,0.0
4875,cnv_depth__IBNLCO_03870__hypothetical__CDS,0.0
4874,cnv_depth__IBNLCO_03869__IBNLCO_03869__gene__promoter,0.0
4873,cnv_depth__IBNLCO_03870__IBNLCO_03870__gene__promoter,0.0
4885,cnv_depth__IBNLCO_03895__Transcriptional__CDS,0.0
4923,cnv_depth__IBNLCO_03927__Putrescine-binding__CDS,0.0
4922,cnv_depth__IBNLCO_03925__Spermidine/putrescine__CDS__promoter,0.0
4921,cnv_depth__IBNLCO_03926__Spermidine/putrescine__CDS,0.0
4920,cnv_depth__IBNLCO_03924__ydcV__gene__promoter,0.0
4919,cnv_depth__IBNLCO_03925__Spermidine/putrescine__CDS,0.0
4918,cnv_depth__IBNLCO_03924__Inner__CDS,0.0
4917,cnv_depth__IBNLCO_03923__IBNLCO_03923__gene__promoter,0.0
4916,cnv_depth__IBNLCO_03922__IBNLCO_03922__gene__promoter,0.0
4915,cnv_depth__IBNLCO_03922__IBNLCO_03922__gene,0.0
4914,cnv_depth__IBNLCO_03920__Methyl-accepting__CDS,0.0
4913,cnv_depth__IBNLCO_03920__IBNLCO_03920__gene__promoter,0.0
4912,cnv_depth__IBNLCO_03918__copC__gene__promoter,0.0
4898,cnv_depth__IBNLCO_03907__Flavin__CDS,0.0
4910,cnv_depth__IBNLCO_03916__Multicopper__CDS,0.0
4909,cnv_depth__IBNLCO_03916__IBNLCO_03916__gene__promoter,0.0
4908,cnv_depth__IBNLCO_03915__RND__CDS__promoter,0.0
4907,cnv_depth__IBNLCO_03913__DUF2946__CDS__promoter,0.0
4906,cnv_depth__IBNLCO_03912__DNA__CDS,0.0
4905,cnv_depth__IBNLCO_03912__IBNLCO_03912__gene__promoter,0.0
4904,cnv_depth__IBNLCO_03911__IBNLCO_03911__gene__promoter,0.0
4903,cnv_depth__IBNLCO_03911__hypothetical__CDS,0.0
4902,cnv_depth__IBNLCO_03909__IBNLCO_03909__gene__promoter,0.0
4901,cnv_depth__IBNLCO_03910__DJ-1/PfpI__CDS__promoter,0.0
4900,cnv_depth__IBNLCO_03908__IBNLCO_03908__gene__promoter,0.0
4899,cnv_depth__IBNLCO_03908__hypothetical__CDS,0.0
4911,cnv_depth__IBNLCO_03917__RND__CDS,0.0
4845,cnv_depth__IBNLCO_03853__IBNLCO_03853__gene__promoter,0.0
4844,cnv_depth__IBNLCO_03853__IBNLCO_03853__gene,0.0
4843,cnv_depth__IBNLCO_03852__hypothetical__CDS,0.0
4842,cnv_depth__IBNLCO_03852__IBNLCO_03852__gene__promoter,0.0
4841,cnv_depth__IBNLCO_03847__tRNA-Ser(gga)__tRNA,0.0
4840,cnv_depth__IBNLCO_03847__trnS__gene__promoter,0.0
4839,cnv_depth__IBNLCO_03846__Uncharacterized__CDS,0.0
4838,cnv_depth__IBNLCO_03844__Acetyl-coenzyme__CDS,0.0
4837,cnv_depth__IBNLCO_03844__IBNLCO_03844__gene__promoter,0.0
4836,cnv_depth__IBNLCO_03843__eamA__gene__promoter,0.0
4835,cnv_depth__IBNLCO_03843__EamA__CDS,0.0
4833,cnv_depth__IBNLCO_03842__UPF0114__CDS,0.0
4872,cnv_depth__IBNLCO_03869__IBNLCO_03869__gene,0.0
4831,cnv_depth__IBNLCO_03841__IBNLCO_03841__gene,0.0
4830,cnv_depth__IBNLCO_03840__IBNLCO_03840__gene__promoter,0.0
4829,cnv_depth__IBNLCO_03840__gnl|Bakta|IBNLCO_03840__CDS,0.0
4828,cnv_depth__IBNLCO_03839__IBNLCO_03839__gene__promoter,0.0
4827,cnv_depth__IBNLCO_03838__IBNLCO_03838__gene__promoter,0.0
4826,cnv_depth__IBNLCO_03838__IBNLCO_03838__gene,0.0
4825,cnv_depth__IBNLCO_03837__IBNLCO_03837__gene__promoter,0.0
4824,cnv_depth__IBNLCO_03837__hypothetical__CDS,0.0
4823,cnv_depth__IBNLCO_03836__exbB__gene__promoter,0.0
4822,cnv_depth__IBNLCO_03836__exbB__gene,0.0
4821,cnv_depth__IBNLCO_03835__Biopolymer__CDS__promoter,0.0
4820,cnv_depth__IBNLCO_03835__IBNLCO_03835__gene,0.0
4832,cnv_depth__IBNLCO_03841__Fumarate__CDS__promoter,0.0
4871,cnv_depth__IBNLCO_03868__IBNLCO_03868__gene__promoter,0.0
4870,cnv_depth__IBNLCO_03868__hypothetical__CDS,0.0
4869,cnv_depth__IBNLCO_03867__IBNLCO_03867__gene__promoter,0.0
4868,cnv_depth__IBNLCO_03866__lysM__gene__promoter,0.0
4867,cnv_depth__IBNLCO_03867__IBNLCO_03867__gene,0.0
4866,cnv_depth__IBNLCO_03865__hypothetical__CDS__promoter,0.0
4865,cnv_depth__IBNLCO_03866__LysM__CDS,0.0
4864,cnv_depth__IBNLCO_03865__hypothetical__CDS,0.0
4863,cnv_depth__IBNLCO_03864__Integrase__CDS,0.0
4862,cnv_depth__IBNLCO_03864__IBNLCO_03864__gene__promoter,0.0
4861,cnv_depth__IBNLCO_03863__Glycerophosphoryl__CDS,0.0
4860,cnv_depth__IBNLCO_03863__IBNLCO_03863__gene__promoter,0.0
4846,cnv_depth__IBNLCO_03855__IBNLCO_03855__gene__promoter,0.0
4858,cnv_depth__IBNLCO_03861__IBNLCO_03861__gene__promoter,0.0
4857,cnv_depth__IBNLCO_03860__IBNLCO_03860__gene__promoter,0.0
4856,cnv_depth__IBNLCO_03860__hypothetical__CDS,0.0
4855,cnv_depth__IBNLCO_03859__IBNLCO_03859__gene__promoter,0.0
4854,cnv_depth__IBNLCO_03859__IBNLCO_03859__gene,0.0
4853,cnv_depth__IBNLCO_03858__hypothetical__CDS,0.0
4852,cnv_depth__IBNLCO_03858__hypothetical__CDS__promoter,0.0
4851,cnv_depth__IBNLCO_03857__hypothetical__CDS,0.0
4850,cnv_depth__IBNLCO_03857__IBNLCO_03857__gene__promoter,0.0
4849,cnv_depth__IBNLCO_03856__DNA__CDS,0.0
4848,cnv_depth__IBNLCO_03856__DNA__CDS__promoter,0.0
4847,cnv_depth__IBNLCO_03855__IBNLCO_03855__gene,0.0
4859,cnv_depth__IBNLCO_03862__Cytochrome__CDS,0.0
4632,cnv_depth__IBNLCO_03675__IBNLCO_03675__gene,0.0
4631,cnv_depth__IBNLCO_03674__asmA__gene,0.0
4630,cnv_depth__IBNLCO_03670__IBNLCO_03670__gene__promoter,0.0
4629,cnv_depth__IBNLCO_03669__IBNLCO_03669__gene,0.0
4628,cnv_depth__IBNLCO_03668__IBNLCO_03668__gene,0.0
4627,cnv_depth__IBNLCO_03668__IBNLCO_03668__gene__promoter,0.0
4626,cnv_depth__IBNLCO_03667__IBNLCO_03667__gene,0.0
4625,cnv_depth__IBNLCO_03667__hypothetical__CDS__promoter,0.0
4623,cnv_depth__IBNLCO_03665__mgtC__gene,0.0
4622,cnv_depth__IBNLCO_03664__N-acylglucosamine__CDS__promoter,0.0
4621,cnv_depth__IBNLCO_03665__mgtC__gene__promoter,0.0
4620,cnv_depth__IBNLCO_03664__IBNLCO_03664__gene,0.0
4730,cnv_depth__IBNLCO_03759__IBNLCO_03759__gene,0.0
4618,cnv_depth__IBNLCO_03660__IBNLCO_03660__gene,0.0
4617,cnv_depth__IBNLCO_03660__Radical__CDS__promoter,0.0
4616,cnv_depth__IBNLCO_03659__IBNLCO_03659__gene,0.0
4615,cnv_depth__IBNLCO_03659__DUF1842__CDS__promoter,0.0
4614,cnv_depth__IBNLCO_03658__DUF1842__CDS__promoter,0.0
4613,cnv_depth__IBNLCO_03657__IBNLCO_03657__gene,0.0
4612,cnv_depth__IBNLCO_03657__IBNLCO_03657__gene__promoter,0.0
4611,cnv_depth__IBNLCO_03653__2-methylcitrate__CDS,0.0
