feature,coefficient,abs_coefficient
cnv_depth__IBNLCO_01079__tRNA__CDS__promoter,0.011995545138348652,0.011995545138348652
cnv_depth__IBNLCO_04972__N-acetylmuramoyl-L-alanine__CDS__promoter,-0.011966603054702582,0.011966603054702582
cnv_depth__IBNLCO_03791__N-acetylneuraminate__CDS__promoter,-0.011961301875484708,0.011961301875484708
cnv_depth__IBNLCO_02883__Holliday__CDS__promoter,-0.011847063056461165,0.011847063056461165
cnv_depth__IBNLCO_02233__IBNLCO_02233__gene__promoter,-0.01183556867747764,0.01183556867747764
cnv_depth__IBNLCO_04148__hypothetical__CDS,0.011832428742100652,0.011832428742100652
cnv_depth__IBNLCO_03072__Glutamyl-tRNA__CDS__promoter,0.011814395418491205,0.011814395418491205
cnv_depth__IBNLCO_02914__IBNLCO_02914__gene__promoter,0.011814348162187679,0.011814348162187679
cnv_depth__IBNLCO_00673__3-phosphoshikimate__CDS__promoter,-0.011802269728936906,0.011802269728936906
cnv_depth__IBNLCO_02668__Bis(5'-nucleosyl)-tetraphosphatase%2C__CDS,-0.011795389623486965,0.011795389623486965
cnv_depth__IBNLCO_04081__IBNLCO_04081__gene__promoter,0.011765345607536854,0.011765345607536854
cnv_depth__IBNLCO_04962__hypothetical__CDS,0.011719455382317072,0.011719455382317072
cnv_depth__IBNLCO_05088__phoB__gene__promoter,0.01171297067275472,0.01171297067275472
cnv_depth__IBNLCO_00883__Integral__CDS__promoter,0.011691164681843504,0.011691164681843504
cnv_depth__IBNLCO_04983__Type__CDS__promoter,-0.011648784108505124,0.011648784108505124
cnv_depth__IBNLCO_03751__nodT__gene__promoter,0.01164182293773291,0.01164182293773291
cnv_depth__IBNLCO_02692__IBNLCO_02692__gene,-0.011628576263917147,0.011628576263917147
cnv_depth__IBNLCO_05782__IBNLCO_05782__gene__promoter,0.011614398291477585,0.011614398291477585
cnv_depth__IBNLCO_02433__hypothetical__CDS__promoter,0.011585538802240588,0.011585538802240588
cnv_depth__IBNLCO_05751__Glycosyltransferase__CDS__promoter,-0.011569984831746104,0.011569984831746104
cnv_depth__IBNLCO_02150__ACB__CDS,0.011565036764933496,0.011565036764933496
cnv_depth__IBNLCO_05256__IBNLCO_05256__gene__promoter,-0.01153346226698507,0.01153346226698507
cnv_depth__IBNLCO_02571__hypothetical__CDS,-0.01150306198380912,0.01150306198380912
cnv_depth__IBNLCO_00828__Flavin__CDS__promoter,0.01150070275282849,0.01150070275282849
cnv_depth__IBNLCO_04703__IBNLCO_04703__gene__promoter,-0.011481106096814594,0.011481106096814594
cnv_depth__IBNLCO_01000__Solute-binding__CDS,-0.01143867518317358,0.01143867518317358
cnv_depth__IBNLCO_03792__4-hydroxyproline__CDS__promoter,-0.011422315210751988,0.011422315210751988
cnv_depth__IBNLCO_02171__yejB__gene__promoter,0.01142222883544185,0.01142222883544185
cnv_depth__IBNLCO_02632__Urea__CDS__promoter,0.011420999206589347,0.011420999206589347
cnv_depth__IBNLCO_03730__IBNLCO_03730__gene__promoter,-0.011411090516822734,0.011411090516822734
cnv_depth__IBNLCO_04565__Bifunctional__CDS__promoter,0.011393210924212346,0.011393210924212346
cnv_depth__IBNLCO_04026__3-dehydrocarnitine:acetyl-CoA__CDS__promoter,-0.011365822386614769,0.011365822386614769
cnv_depth__IBNLCO_05683__IBNLCO_05683__gene,0.011365687995912045,0.011365687995912045
cnv_depth__IBNLCO_03675__IBNLCO_03675__gene__promoter,0.011356090777578591,0.011356090777578591
cnv_depth__IBNLCO_04358__HTH__CDS,0.011337514889653986,0.011337514889653986
cnv_depth__IBNLCO_05682__SAF__CDS__promoter,0.011249944130324855,0.011249944130324855
cnv_depth__IBNLCO_04305__DUF4148__CDS__promoter,0.011240578306471651,0.011240578306471651
cnv_depth__IBNLCO_02590__Glucose-6-phosphate__CDS,-0.01118350005420507,0.01118350005420507
cnv_depth__IBNLCO_04222__IBNLCO_04222__gene,-0.01118191351243526,0.01118191351243526
cnv_depth__IBNLCO_04306__hypothetical__CDS,0.011134690066468141,0.011134690066468141
cnv_depth__IBNLCO_02126__Bifunctional__CDS__promoter,0.011130492393696597,0.011130492393696597
cnv_depth__IBNLCO_05363__Glycine__CDS,-0.011104790346577085,0.011104790346577085
cnv_depth__IBNLCO_04219__IBNLCO_04219__gene__promoter,-0.011104391473598055,0.011104391473598055
cnv_depth__IBNLCO_05758__IBNLCO_05758__gene__promoter,-0.011094110589187602,0.011094110589187602
cnv_depth__IBNLCO_04004__Formaldehyde__CDS__promoter,-0.011088694754690612,0.011088694754690612
cnv_depth__IBNLCO_05168__IBNLCO_05168__gene__promoter,0.011038006533981484,0.011038006533981484
cnv_depth__IBNLCO_02650__IBNLCO_02650__gene__promoter,-0.011019024411771263,0.011019024411771263
cnv_depth__IBNLCO_04948__IBNLCO_04948__gene__promoter,-0.010992890536259691,0.010992890536259691
cnv_depth__IBNLCO_02474__Cobalamin__CDS,0.010971911567736917,0.010971911567736917
cnv_depth__IBNLCO_02888__D-aminoacyl-tRNA__CDS__promoter,0.010933082542124332,0.010933082542124332
cnv_depth__IBNLCO_01312__CRM__CDS,0.010925708653374097,0.010925708653374097
cnv_depth__IBNLCO_02698__IBNLCO_02698__gene__promoter,0.010905500324434872,0.010905500324434872
cnv_depth__IBNLCO_00681__deoR__gene__promoter,-0.010874921869461795,0.010874921869461795
cnv_depth__IBNLCO_00786__IBNLCO_00786__gene,-0.010861563050158807,0.010861563050158807
cnv_depth__IBNLCO_03856__DNA__CDS,0.010859925730296273,0.010859925730296273
cnv_depth__IBNLCO_02584__IBNLCO_02584__gene,0.010859292273246968,0.010859292273246968
cnv_depth__IBNLCO_02173__Enoyl-[acyl-carrier-protein]__CDS__promoter,0.010840997064182156,0.010840997064182156
cnv_depth__IBNLCO_03970__Fe2OG__CDS__promoter,-0.010834363758243181,0.010834363758243181
cnv_depth__IBNLCO_00946__IBNLCO_00946__gene__promoter,0.01080232306749593,0.01080232306749593
cnv_depth__IBNLCO_00945__TonB-dependent__CDS__promoter,-0.01076042152293855,0.01076042152293855
cnv_depth__IBNLCO_05164__gnl|Bakta|IBNLCO_05164__CDS,0.010749145387094285,0.010749145387094285
cnv_depth__IBNLCO_02201__IBNLCO_02201__gene__promoter,0.010701672020947567,0.010701672020947567
cnv_depth__IBNLCO_03663__LysR__CDS__promoter,0.01066718335006755,0.01066718335006755
cnv_depth__IBNLCO_02915__MFS__CDS__promoter,0.01064870444097457,0.01064870444097457
cnv_depth__IBNLCO_05128__High-copy__CDS__promoter,-0.01063935554755086,0.01063935554755086
cnv_depth__IBNLCO_02614__IBNLCO_02614__gene__promoter,0.010636474530853089,0.010636474530853089
cnv_depth__IBNLCO_03355__Fusaric__CDS__promoter,0.010632661929981413,0.010632661929981413
cnv_depth__IBNLCO_02604__3%2C4-dihydroxy-2-butanone__CDS,-0.010601287102532218,0.010601287102532218
cnv_depth__IBNLCO_00236__IBNLCO_00236__gene,0.010590763513157013,0.010590763513157013
cnv_depth__IBNLCO_05064__IBNLCO_05064__gene__promoter,0.010547003888034274,0.010547003888034274
cnv_depth__IBNLCO_04197__Methyl-accepting__CDS__promoter,0.010544675505060757,0.010544675505060757
cnv_depth__IBNLCO_01694__IBNLCO_01694__gene,0.010539140757725787,0.010539140757725787
cnv_depth__IBNLCO_00838__tRNA__CDS__promoter,-0.010538634794851199,0.010538634794851199
cnv_depth__IBNLCO_04107__IBNLCO_04107__gene__promoter,0.010531840492569278,0.010531840492569278
cnv_depth__IBNLCO_04666__Beta-lactamase__CDS__promoter,-0.010508637493160578,0.010508637493160578
cnv_depth__IBNLCO_04088__IBNLCO_04088__gene__promoter,0.010504211828158852,0.010504211828158852
cnv_depth__IBNLCO_05426__IBNLCO_05426__gene__promoter,0.010494734161954185,0.010494734161954185
cnv_depth__IBNLCO_01899__IBNLCO_01899__gene__promoter,-0.010491618254349702,0.010491618254349702
cnv_depth__IBNLCO_05056__Cellulose__CDS__promoter,-0.010486993413366596,0.010486993413366596
cnv_depth__IBNLCO_02377__hpnL__gene__promoter,0.01047070195118626,0.01047070195118626
cnv_depth__IBNLCO_00320__IBNLCO_00320__gene,-0.010452495449046686,0.010452495449046686
cnv_depth__IBNLCO_04106__MurR/RpiR__CDS,-0.01043166625356039,0.01043166625356039
cnv_depth__IBNLCO_04143__IBNLCO_04143__gene__promoter,-0.01041142238382456,0.01041142238382456
